Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 2: Wavelength (nm),Run 2: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel)
350,0.01749750973,350,0.021689865,350,0.1626653514,350,0.1950498291
350.7,0.01743868976,350.7,0.02063583198,350.7,0.1512698635,350.7,0.1861514583
351.3,0.01757800022,351.3,0.02232321965,351.3,0.1626008791,351.3,0.1958792217
352,0.01816852177,352,0.02312484565,352,0.1689030513,352,0.2054079309
352.6,0.01734659007,352.6,0.02390310063,352.6,0.1686935162,352.6,0.2067640889
353.3,0.01777148696,353.3,0.02105105711,353.3,0.154122765,353.3,0.1850388585
353.9,0.0180980926,353.9,0.0213875998,353.9,0.1577009805,353.9,0.1915348229
354.6,0.01764068992,354.6,0.02224297915,354.6,0.165340954,354.6,0.2009162644
355.2,0.01787519586,355.2,0.02067010948,355.2,0.1532201521,355.2,0.1842555882
355.9,0.01753543313,355.9,0.02229984863,355.9,0.1606989447,355.9,0.1919741987
356.5,0.01766932596,356.5,0.02139461111,356.5,0.1553316216,356.5,0.1901373976
357.2,0.01730557087,357.2,0.02254836048,357.2,0.1587325381,357.2,0.1911747452
357.8,0.01727538694,357.8,0.02124737368,357.8,0.1558312823,357.8,0.1879275721
358.5,0.01759812284,358.5,0.02171946829,358.5,0.1574914453,358.5,0.1895895939
359.1,0.01801605421,359.1,0.02150523394,359.1,0.1591032541,359.1,0.1909797368
359.8,0.01797271318,359.8,0.023293117,359.8,0.1753502863,359.8,0.2064825
360.4,0.01707338678,360.4,0.02194071395,360.4,0.1626008791,360.4,0.1961891313
361.1,0.01795800819,361.1,0.02247123612,361.1,0.1713046464,361.1,0.1978034124
361.8,0.01723127196,361.8,0.02148497906,361.8,0.1612791959,361.8,0.197964436
362.4,0.01779547932,362.4,0.02198122372,362.4,0.1586197115,362.4,0.1937139002
363.1,0.01758496574,363.1,0.02094510848,363.1,0.1532846245,363.1,0.1845889636
363.7,0.01756252128,363.7,0.02181373141,363.7,0.1729809275,363.7,0.1975541901
364.4,0.01753698103,364.4,0.02315834412,364.4,0.1721427869,364.4,0.2042459721
365,0.01763062861,365,0.02054390597,365,0.1660662679,365,0.1894601277
365.7,0.01797039134,365.7,0.02205834809,365.7,0.1716914805,365.7,0.2071978005
366.3,0.01767783938,366.3,0.02322066684,366.3,0.185778689,366.3,0.2143168208
367,0.01797193924,367,0.02327675729,367,0.1912266026,367,0.2260383631
367.6,0.01784655982,367.6,0.02406513971,367.6,0.1923871049,367.6,0.2286600528
368.3,0.01790537979,368.3,0.02257718474,368.3,0.1944179839,368.3,0.2278080036
368.9,0.01818013098,368.9,0.02153717433,368.9,0.1655988434,368.9,0.2063109573
369.6,0.01752691971,369.6,0.02066855141,369.6,0.1642288059,369.6,0.1939768783
370.2,0.01788525717,370.2,0.02231387125,370.2,0.1740608393,370.2,0.2082998812
370.9,0.01778928775,370.9,0.02127853504,370.9,0.164244924,370.9,0.1943159178
371.5,0.01797426108,371.5,0.02284828858,371.5,0.1719332518,371.5,0.2042168422
372.2,0.01775910381,372.2,0.02198901406,372.2,0.1714658272,372.2,0.2013046628
372.8,0.01811821522,372.8,0.02138604174,372.8,0.167371833,372.8,0.1965791481
373.5,0.01818322677,373.5,0.02163533262,373.5,0.1628587685,373.5,0.1972289064
374.1,0.01792240663,374.1,0.02182307982,374.1,0.1644544592,374.1,0.1944202999
374.8,0.01737367821,374.8,0.02162910035,374.8,0.1655021348,374.8,0.1953136164
375.4,0.01747119553,375.4,0.02251564106,375.4,0.1753664044,375.4,0.2046926303
376.1,0.01710124887,376.1,0.02056727699,376.1,0.1510442103,376.1,0.1891631647
376.7,0.0174541687,376.7,0.02324871206,376.7,0.1821521193,376.7,0.2170364193
377.4,0.01714536385,377.4,0.02269092371,377.4,0.1787028486,377.4,0.2160621865
378,0.01829854487,378,0.0231809361,378,0.1766880876,378,0.2176489561
378.7,0.01757567838,378.7,0.02291216937,378.7,0.1869875456,378.7,0.2258085607
379.3,0.01771034515,379.3,0.02483638338,379.3,0.2128248399,379.3,0.257214623
380,0.01760818415,380,0.02290282096,380,0.2040727184,380,0.2418073411
380.6,0.01727925668,380.6,0.02342866892,380.6,0.1871164903,380.6,0.2228607781
381.3,0.0178922227,381.3,0.02355253533,381.3,0.1910009494,381.3,0.2218331405
381.9,0.01779160959,381.9,0.02319807485,381.9,0.1779452984,381.9,0.2125229054
382.6,0.0178279851,382.6,0.02151925655,382.6,0.1698379004,382.6,0.2015902975
383.2,0.01764997729,383.2,0.0233640091,383.2,0.2002204954,383.2,0.2331177344
383.9,0.0177621996,383.9,0.02258653315,383.9,0.18374781,383.9,0.2170873966
384.5,0.01708267414,384.5,0.02166493591,384.5,0.1788479113,384.5,0.2220119656
385.2,0.01773433751,385.2,0.02334609131,385.2,0.2041694269,385.2,0.2380625325
385.8,0.01828693566,385.8,0.02400281699,385.8,0.2322148992,385.8,0.2772139077
386.5,0.0179943837,386.5,0.02318872644,386.5,0.2314734672,386.5,0.2681504675
387.1,0.01740618398,387.1,0.0250085499,387.1,0.2338589442,387.1,0.2714874577
387.8,0.01777226091,387.8,0.02292930812,387.8,0.1944824563,387.8,0.2347959395
388.4,0.01769718805,388.4,0.02404176869,388.4,0.2258482547,388.4,0.2670702343
389.1,0.01735510348,389.1,0.02227336148,389.1,0.1992372921,389.1,0.2337221795
389.7,0.01785197745,389.7,0.02444219217,389.7,0.186149405,389.7,0.220925259
390.4,0.01797426108,390.4,0.02285997409,390.4,0.176575261,390.4,0.2090240825
391,0.01780941037,391,0.02166961012,391,0.1654376625,391,0.1982557348
391.7,0.01746964764,391.7,0.02271741086,391.7,0.1765269067,391.7,0.2085337294
392.3,0.0180833876,392.3,0.02320430712,392.3,0.1905335248,392.3,0.2226908538
393,0.01728003062,393,0.02262548485,393,0.173271053,393,0.2053067854
393.6,0.01770260568,393.6,0.0233710204,393.6,0.1799600594,393.6,0.2115947949
394.3,0.01774594671,394.3,0.02261457838,394.3,0.18265178,394.3,0.2190536639
394.9,0.01756329522,394.9,0.02260211383,394.9,0.1823133002,394.9,0.2161649502
395.6,0.0180702305,395.6,0.02495245945,395.6,0.2106650162,395.6,0.2424595269
396.2,0.01828538777,396.2,0.02490883354,396.2,0.2490260646,396.2,0.292439937
396.9,0.01766932596,396.9,0.02531860544,396.9,0.2703664125,396.9,0.3079548377
397.5,0.01728854404,397.5,0.02357201118,397.5,0.2072963359,397.5,0.2418542726
398.2,0.01808261366,398.2,0.02337024137,398.2,0.2180471003,398.2,0.2542239548
398.8,0.01735665138,398.8,0.02518305352,398.8,0.2366473733,398.8,0.27897222
399.5,0.01795723424,399.5,0.02546584286,399.5,0.2185306429,399.5,0.2608202555
400.1,0.01764223782,400.1,0.02543935571,400.1,0.2060874793,400.1,0.2458895709
400.8,0.01735123375,400.8,0.02184255567,400.8,0.1763334897,400.8,0.2076549779
401.4,0.01791931084,401.4,0.02181840561,401.4,0.1757693566,401.4,0.2008782337
402.1,0.01740541004,402.1,0.02262236872,402.1,0.1854885634,402.1,0.2234231467
402.7,0.01762753282,402.7,0.02268313337,402.7,0.182281064,402.7,0.2157749334
403.4,0.01737213032,403.4,0.02167350529,403.4,0.1803307754,403.4,0.206938059
404,0.01758883547,404,0.02365303072,404,0.1937087881,404,0.2346284426
404.7,0.01787983954,404.7,0.0225304427,404.7,0.1974965386,404.7,0.2314193003
405.3,0.01817703519,405.3,0.02362654356,405.3,0.2417245709,405.3,0.2848200445
406,0.01802611553,406,0.02622384296,406,0.3045689943,406,0.3595106891
406.6,0.01852221555,406.6,0.02575096931,406.6,0.2726551809,406.6,0.3169697281
407.3,0.01765539492,407.3,0.02230997608,407.3,0.2145817115,407.3,0.2481649386
407.9,0.01730866666,407.9,0.02448348097,407.9,0.2223022754,407.9,0.2611819516
408.6,0.01851060634,408.6,0.0257416209,408.6,0.2548769303,408.6,0.2964153572
409.2,0.01862824629,409.2,0.03128756405,409.2,0.4364794228,409.2,0.4807411808
409.9,0.01883489013,409.9,0.03018600995,409.9,0.3944918048,409.9,0.4357605918
410.5,0.01710047492,410.5,0.0216532504,410.5,0.1577170986,410.5,0.188803087
411.2,0.01791311926,411.2,0.02354162885,411.2,0.1638903261,411.2,0.1928472861
411.8,0.01767938727,411.8,0.02264885587,411.8,0.1613597863,411.8,0.1869039803
