"Run 1: Wavelength (nm)","Run 1: Intensity (rel)","Run 2: Wavelength (nm)","Run 2: Intensity (rel)","Run 3: Wavelength (nm)","Run 3: Intensity (rel)","Run 4: Wavelength (nm)","Run 4: Intensity (rel)","Run 5: Wavelength (nm)","Run 5: Intensity (rel)","Run 6: Wavelength (nm)","Run 6: Intensity (rel)","Run 7: Wavelength (nm)","Run 7: Intensity (rel)","Run 8: Wavelength (nm)","Run 8: Intensity (rel)","Run 9: Wavelength (nm)","Run 9: Intensity (rel)","Run 10: Wavelength (nm)","Run 10: Intensity (rel)"
650.2,0.0162734329873,650.2,0.0170522394323,650.2,0.0173352904367,650.2,0.0168281052879,650.2,0.0167410855134,650.2,0.0164065180414,650.2,0.0165107346793,650.2,0.0164145127036,650.2,0.0171191070905,650.2,0.0167536341836
650.8,0.017060785566,650.8,0.0164680412227,650.8,0.0167019816178,650.8,0.0168000625353,650.8,0.0173751998356,650.8,0.0170801513289,650.8,0.0162729165986,650.8,0.016334962921,650.8,0.0164726160144,650.8,0.0169517248393
651.5,0.0181651040197,651.5,0.0170553551561,651.5,0.0177247792553,651.5,0.017686525103,651.5,0.0176984890785,651.5,0.0168673019221,651.5,0.0170853967301,651.5,0.017004896874,651.5,0.0170364435754,651.5,0.017418095753
652.1,0.0193177072013,652.1,0.0192379196671,652.1,0.0196278216225,652.1,0.0190419248109,652.1,0.0192674156694,652.1,0.0178925655484,652.1,0.0182214653976,652.1,0.0174509995762,652.1,0.0183270861941,652.1,0.017914882161
652.8,0.0223627602011,652.8,0.0224712620243,652.8,0.022330874023,652.8,0.022359538234,652.8,0.0224255231171,652.8,0.0193895284095,652.8,0.0193567543337,652.8,0.0188454604702,652.8,0.0197339256408,652.8,0.0191057657483
653.4,0.0304216370407,653.4,0.0306422476489,653.4,0.0305818051545,653.4,0.0300712951931,653.4,0.031151995645,653.4,0.0224473869207,653.4,0.0226940047777,653.4,0.0216850757472,653.4,0.0217888158526,653.4,0.0213229772994
654.1,0.0770195145843,654.1,0.076202697617,654.1,0.0767510307237,654.1,0.0769914940489,654.1,0.0775085570378,654.1,0.0307570901365,654.1,0.0297653889546,654.1,0.0289771391473,654.1,0.0293065166651,654.1,0.0279878699889
654.7,0.332208195336,654.7,0.330462115973,654.7,0.330314483399,654.7,0.330094473307,654.7,0.330876958295,654.7,0.101646078295,654.7,0.0974460755299,654.7,0.0926099460859,654.7,0.0905157302626,654.7,0.0879781432698
655.4,0.902431361896,655.4,0.902793312582,655.4,0.902032656456,655.4,0.902384736205,655.4,0.906419838835,655.4,0.580006018259,655.4,0.563415126899,655.4,0.553935512969,655.4,0.535497331587,655.4,0.523966317726
656,0.727212314724,656,0.72340941035,656,0.724241137513,656,0.729795615461,656,0.730342494961,656,0.947192296068,656,0.93641368307,656,0.947171925291,656,0.928195039417,656,0.921216070736
656.7,0.0343833210843,656.7,0.0340259236787,656.7,0.0337802873321,656.7,0.0351112010037,656.7,0.0352059648501,656.7,0.0877445950577,656.7,0.0863504975349,656.7,0.0862350448846,656.7,0.0830222046289,656.7,0.0802097140538
657.3,0.0170981672909,657.3,0.0178973795088,657.3,0.0171553466026,657.3,0.0171801976258,657.3,0.0170036119588,657.3,0.0163394665799,657.3,0.0169699964811,657.3,0.0158943195177,657.3,0.0169717164833,657.3,0.0162576276601
658,0.0169899160461,658,0.0170008299899,658,0.017257392673,658,0.0173912972355,658,0.0172505581998,658,0.0173904592553,658,0.0158542008303,658,0.0163139056256,658,0.0165583989075,658,0.0166007768273
658.6,0.0168115740673,658.6,0.0171332482507,658.6,0.0169403487748,658.6,0.0169652031894,658.6,0.0165767143561,658.6,0.0172353052921,658.6,0.0171165859866,658.6,0.016376297612,658.6,0.0161333836645,658.6,0.0167325773029
659.3,0.0167375894037,659.3,0.0160333977548,659.3,0.0156262135011,659.3,0.0167291766885,659.3,0.0167644558201,659.3,0.016792453779,659.3,0.0166760377387,659.3,0.016275690534,659.3,0.0168134080534,659.3,0.0166374313975
659.9,0.0161986695377,659.9,0.0160583235451,659.9,0.0161644870483,659.9,0.0164619915737,659.9,0.0163881938819,659.9,0.0162544827508,659.9,0.0162744760614,659.9,0.0164652061925,659.9,0.0163072889841,659.9,0.0165313671094
660.6,0.0162664239139,660.6,0.0157771294736,660.6,0.0155428628939,660.6,0.0162275230035,660.6,0.0155850343411,660.6,0.0157952582064,660.6,0.0154222296279,660.6,0.0165197991805,660.6,0.0161996704455,660.6,0.0158864026519
661.2,0.0152306386224,661.2,0.016146342742,661.2,0.0165703343972,661.2,0.0157920813732,661.2,0.0162152536122,661.2,0.016702791941,661.2,0.0160054687242,661.2,0.0159504723054,661.2,0.0167424422054,661.2,0.0159152583773
661.9,0.0161823150331,661.9,0.0159827672433,661.9,0.0157539658336,661.9,0.0160654982109,661.9,0.0160734737515,661.9,0.0168712002629,661.9,0.0175844248339,661.9,0.0166009087627,661.9,0.0170044699516,661.9,0.016245929393
