Run 1: Wavelength (nm),Run 1: Intensity (rel),Run 2: Wavelength (nm),Run 2: Intensity (rel),Run 3: Wavelength (nm),Run 3: Intensity (rel),Run 4: Wavelength (nm),Run 4: Intensity (rel),Run 5: Wavelength (nm),Run 5: Intensity (rel),Run 6: Wavelength (nm),Run 6: Intensity (rel),Run 7: Wavelength (nm),Run 7: Intensity (rel),Run 8: Wavelength (nm),Run 8: Intensity (rel),Run 9: Wavelength (nm),Run 9: Intensity (rel),Run 10: Wavelength (nm),Run 10: Intensity (rel)
650.2,0.01658907223,650.2,0.01613851507,650.2,0.01644529063,650.2,0.01599482449,650.2,0.01662472656,650.2,0.01694946863,650.2,0.01680247379,650.2,0.01650387231,650.2,0.01629804798,650.2,0.016635215
650.8,0.01698997227,650.8,0.01712451627,650.8,0.01678847201,650.8,0.01688731576,650.8,0.01624013149,650.8,0.01614653315,650.8,0.0164802196,650.8,0.0163275072,650.8,0.01609203547,650.8,0.01661180282
651.5,0.01751722603,651.5,0.01696850342,651.5,0.01795450873,651.5,0.01728597226,651.5,0.0174071786,651.5,0.01681135437,651.5,0.0175320323,651.5,0.01746529626,651.5,0.01740146349,651.5,0.01698327613
652.1,0.01937587351,652.1,0.01863550071,652.1,0.01931007518,652.1,0.01847179983,652.1,0.01921703776,652.1,0.0178694501,652.1,0.01765609626,652.1,0.01774857296,652.1,0.01790088777,652.1,0.01794239526
652.8,0.02262285188,652.8,0.02188368821,652.8,0.02237296898,652.8,0.0219754522,652.8,0.02252627163,652.8,0.01915383475,652.8,0.01905279117,652.8,0.01901278304,652.8,0.01869528451,652.8,0.01875635885
653.4,0.03239420548,653.4,0.03203778444,653.4,0.03275108583,653.4,0.0324895299,653.4,0.03289785678,653.4,0.0215626412,653.4,0.02171197342,653.4,0.02127119288,653.4,0.02153497973,653.4,0.02033746166
654.1,0.1020618976,654.1,0.1017809881,654.1,0.1028716209,654.1,0.09963701584,654.1,0.1028348713,654.1,0.03007344519,654.1,0.02879922472,654.1,0.02819157246,654.1,0.02718237582,654.1,0.02717850175
654.7,0.4294186224,654.7,0.4259593055,654.7,0.4278339674,654.7,0.4177407215,654.7,0.4248298791,654.7,0.09580959364,654.7,0.08939237529,654.7,0.0835616325,654.7,0.08045846056,654.7,0.07209243505
655.4,0.9478798744,655.4,0.9453986234,655.4,0.942889939,655.4,0.9291093557,655.4,0.9398783509,655.4,0.5368622881,655.4,0.5107689859,655.4,0.4922557769,655.4,0.470513503,655.4,0.4345684483
656,0.5403922784,656,0.5373399981,656,0.5414449426,656,0.5222136904,656,0.5499246919,656,0.9439068804,656,0.9268631247,656,0.9122552368,656,0.8948555827,656,0.8647969801
656.7,0.02505009106,656.7,0.02618808269,656.7,0.02563241211,656.7,0.0252552016,656.7,0.02641824893,656.7,0.08684543153,656.7,0.08132587701,656.7,0.0778352291,656.7,0.0746627979,656.7,0.06948587859
657.3,0.01699075223,657.3,0.01704728991,657.3,0.01712853355,657.3,0.01672816522,657.3,0.01716768431,657.3,0.01685349092,657.3,0.01702485259,657.3,0.01654679302,657.3,0.01673426387,657.3,0.01629339712
658,0.01656645336,658,0.01625708484,658,0.01691716502,658,0.01638645964,658,0.01633296478,658,0.01635487501,658,0.01625159859,658,0.0174340812,658,0.01626839466,658,0.01701605319
658.6,0.01670138664,658.6,0.01673214396,658.6,0.01704897787,658.6,0.01690291875,658.6,0.01662628678,658.6,0.01696741568,658.6,0.01693434051,658.6,0.016414129,658.6,0.01635033146,658.6,0.01623096463
659.3,0.01654227456,659.3,0.01623446297,659.3,0.0168181104,659.3,0.01611730799,659.3,0.01651941148,659.3,0.01626357914,659.3,0.01651377149,659.3,0.01654523227,659.3,0.01629570693,659.3,0.01660633997
659.9,0.01577635268,659.9,0.01648798385,659.9,0.01591725928,659.9,0.01612276904,659.9,0.01648898712,659.9,0.01622612442,659.9,0.01604638588,659.9,0.01680665842,659.9,0.01581969317,659.9,0.01618648148
660.6,0.01556030344,660.6,0.0164084173,660.6,0.01598823543,660.6,0.01597766119,660.6,0.01616524077,660.6,0.0158913729,660.6,0.01581542404,660.6,0.01592873476,660.6,0.01616850981,660.6,0.01636051204
661.2,0.01624120955,661.2,0.01598172216,661.2,0.01598667552,661.2,0.01518268863,661.2,0.01636572947,661.2,0.01614419223,661.2,0.01664563822,661.2,0.01655771829,661.2,0.01621142908,661.2,0.01651191083
661.9,0.01555718359,661.9,0.01589747522,661.9,0.01600929429,661.9,0.0159480155,661.9,0.01567533061,661.9,0.01648752713,661.9,0.01682432153,661.9,0.01693229905,661.9,0.01658443659,661.9,0.01662116769
